Interaction_ID,Customer_ID,Channel,Intent,Risk_Level,Retrieved_Documents,Response_Time_Sec,Groundedness_Score,Answer_Relevance_Score,User_Rating,Escalated_To_Human,PII_Redacted,Safe_Response
INT0000624,C000417,Mobile App,KYC,Medium,3,4.5,0.803,0.754,4,True,True,False
INT0000625,C000604,Internal Desk,Product Info,Medium,4,4.38,0.847,0.9,4,False,True,True
INT0000626,C000233,Web,KYC,Medium,3,5.81,0.803,1.0,5,True,True,True
INT0000627,C000338,Mobile App,Transaction Help,High,2,5.87,0.881,0.844,5,False,True,True
INT0000628,C000368,Mobile App,Loan,Medium,4,2.23,0.899,0.969,5,True,True,True
INT0000629,C000505,Mobile App,KYC,Medium,3,4.23,0.862,0.862,5,False,True,True
INT0000630,C000367,Web,Loan,Low,2,2.27,1.0,0.904,4,False,True,True
INT0000631,C000737,Web,Complaint,Low,1,3.46,0.825,0.997,5,False,True,True
INT0000632,C000328,Web,Fraud,High,1,4.38,1.0,0.872,5,False,True,True
INT0000633,C000434,Mobile App,Fraud,Medium,1,0.5,0.796,0.845,4,False,True,False
INT0000634,C000380,Internal Desk,Product Info,Low,1,8.14,0.897,1.0,3,False,True,True
INT0000635,C000183,Internal Desk,KYC,Medium,3,4.82,0.996,0.904,5,False,True,True
INT0000636,C000686,Web,Product Info,Low,3,2.73,0.992,0.987,4,True,True,True
INT0000637,C000236,Mobile App,Fraud,Medium,4,7.27,0.852,0.845,3,False,True,True
INT0000638,C000297,Web,KYC,Low,3,3.17,0.94,1.0,5,False,True,True
INT0000639,C000792,Internal Desk,Product Info,Medium,4,4.04,0.928,0.922,4,False,True,True
INT0000640,C000948,Web,General,Low,3,2.92,0.841,0.935,5,False,True,True
INT0000641,C000671,Internal Desk,Fraud,Low,2,6.77,0.945,0.911,5,False,True,True
INT0000642,C000916,Mobile App,Product Info,Low,3,3.61,1.0,0.86,4,False,True,True
INT0000643,C000854,Web,KYC,Medium,2,4.07,0.932,0.9,5,False,True,True
INT0000644,C000481,Web,Loan,Low,2,5.97,0.941,0.865,4,False,True,True
INT0000645,C000770,Mobile App,KYC,Low,2,4.85,0.95,0.977,4,False,True,True
INT0000646,C000329,Web,Policy,Medium,3,3.7,0.759,0.884,4,False,True,False
INT0000647,C000461,Mobile App,Fraud,Low,2,5.8,0.931,0.78,5,False,True,False
INT0000648,C000535,Internal Desk,Policy,Low,3,8.37,0.798,0.766,4,False,True,False
INT0000649,C000960,Mobile App,Complaint,Low,4,4.37,0.837,0.762,5,False,True,False
INT0000650,C000848,Web,Loan,Medium,2,4.01,1.0,0.949,5,False,True,True
INT0000651,C000489,Web,Transaction Help,Low,2,4.11,0.867,0.808,4,False,True,True
INT0000652,C000652,Web,Loan,Low,2,6.16,0.823,0.924,2,False,True,True
INT0000653,C000203,Internal Desk,Complaint,Low,4,2.72,0.994,0.911,5,True,True,True
INT0000654,C000804,Web,KYC,Low,1,3.3,0.805,0.895,4,False,False,False
INT0000655,C000553,Web,Policy,Low,4,1.03,0.85,0.935,4,False,True,True
INT0000656,C000533,Web,Policy,Low,2,1.67,1.0,0.913,4,True,True,True
INT0000657,C000766,Internal Desk,General,Low,4,2.87,0.894,0.683,4,False,True,False
INT0000658,C000633,Web,Product Info,Low,4,3.7,0.749,0.874,5,False,True,False
INT0000659,C000073,Mobile App,Transaction Help,High,4,6.98,0.939,0.934,4,False,False,False
INT0000660,C000288,Mobile App,General,Low,4,4.76,0.854,1.0,5,False,True,True
INT0000661,C000177,Mobile App,Fraud,Low,1,2.16,1.0,1.0,5,False,True,True
INT0000662,C000735,Internal Desk,Product Info,High,3,2.49,0.835,0.791,4,False,True,False
INT0000663,C000036,Mobile App,Complaint,High,1,6.27,0.985,0.872,4,False,True,True
INT0000664,C000203,Internal Desk,Policy,Medium,2,5.83,1.0,0.775,5,False,True,False
INT0000665,C000597,Web,Complaint,Low,1,3.85,0.813,1.0,5,True,True,True
INT0000666,C000695,Mobile App,Product Info,Low,3,3.0,0.873,0.981,5,False,False,False
INT0000667,C000503,Mobile App,KYC,Low,3,5.82,0.925,0.928,4,False,True,True
INT0000668,C000860,Mobile App,Transaction Help,Low,3,2.01,0.813,0.913,4,False,True,True
INT0000669,C000919,Mobile App,Complaint,Low,1,4.51,0.914,1.0,5,False,True,True
INT0000670,C000132,Internal Desk,Product Info,Medium,2,7.89,0.87,0.997,4,False,False,False
INT0000671,C000952,Mobile App,Loan,Low,3,4.17,0.868,0.993,3,False,True,True
INT0000672,C000614,Mobile App,Fraud,Medium,4,2.4,0.894,0.937,4,False,True,True
INT0000673,C000636,Mobile App,Policy,Low,4,4.54,0.896,0.872,4,False,True,True
INT0000674,C000096,Web,Complaint,Low,1,2.95,0.905,0.961,5,False,True,True
INT0000675,C000622,Web,Transaction Help,Medium,2,1.29,0.836,0.965,5,False,True,True
INT0000676,C000725,Web,Transaction Help,High,1,5.06,0.84,0.885,3,False,True,True
INT0000677,C000581,Web,Transaction Help,Low,4,5.81,0.879,0.872,4,False,True,True
INT0000678,C000085,Web,Fraud,Medium,1,3.24,0.886,0.991,4,False,True,True
INT0000679,C000523,Mobile App,Product Info,Low,4,3.12,0.851,1.0,5,False,True,True
INT0000680,C000936,Web,Fraud,Low,1,2.07,0.919,0.84,4,False,True,True
INT0000681,C000723,Internal Desk,Policy,Medium,1,3.53,0.727,0.879,4,True,True,False
INT0000682,C000138,Mobile App,Policy,Low,4,2.79,0.824,0.928,3,False,True,True
INT0000683,C000959,Web,KYC,Low,2,1.98,0.865,0.939,5,False,True,True
INT0000684,C000958,Web,General,Low,2,7.21,0.813,0.858,4,False,True,True
INT0000685,C000170,Web,Policy,Low,3,4.64,1.0,1.0,4,False,True,True
INT0000686,C000801,Internal Desk,KYC,Low,2,4.83,0.892,0.934,4,True,True,True
INT0000687,C000407,Web,Policy,Low,3,5.39,0.906,0.943,5,False,True,True
INT0000688,C000594,Mobile App,Product Info,High,2,5.19,0.847,1.0,4,False,True,True
INT0000689,C000445,Internal Desk,Policy,Medium,2,3.06,0.889,0.864,4,False,True,True
INT0000690,C000782,Internal Desk,Complaint,Low,2,4.29,0.781,0.893,5,False,False,False
INT0000691,C000996,Web,KYC,Low,1,3.32,0.875,0.8,4,False,True,True
INT0000692,C000795,Web,General,Medium,2,4.59,0.806,0.886,5,False,True,True
INT0000693,C000931,Web,Fraud,Low,3,4.42,0.865,0.781,5,False,True,False
INT0000694,C000946,Web,Product Info,Low,1,3.11,0.66,0.96,4,False,True,False
INT0000695,C000091,Web,Complaint,Medium,1,1.41,0.788,0.934,4,False,True,False
INT0000696,C000254,Mobile App,Fraud,Low,3,4.06,1.0,0.878,5,False,True,True
INT0000697,C000722,Internal Desk,General,Low,2,3.43,0.965,0.892,5,False,True,True
INT0000698,C000590,Mobile App,General,Low,1,0.5,1.0,0.961,5,False,False,False
INT0000699,C000051,Mobile App,Loan,Low,3,4.71,1.0,0.809,3,False,True,True
INT0000700,C000095,Web,General,Low,4,5.54,0.951,0.916,5,False,True,True
INT0000701,C000521,Mobile App,Fraud,High,1,8.35,0.849,0.956,4,True,True,True
INT0000702,C000616,Mobile App,Fraud,Low,1,3.1,0.797,0.757,4,False,True,False
INT0000703,C000168,Mobile App,Policy,Medium,2,2.83,0.993,0.955,4,False,True,True
INT0000704,C000172,Internal Desk,KYC,Medium,3,1.8,0.896,0.766,5,False,True,False
INT0000705,C000130,Web,Loan,Low,1,4.18,1.0,0.891,5,False,True,True
INT0000706,C000565,Web,Fraud,Low,4,4.16,0.857,0.807,4,False,True,True
INT0000707,C000008,Web,KYC,Low,2,2.34,1.0,1.0,5,False,True,True
INT0000708,C000572,Web,Policy,Medium,1,3.49,0.876,0.807,4,False,True,True
INT0000709,C000476,Internal Desk,Fraud,Low,4,0.5,1.0,0.768,4,False,True,False
INT0000710,C000466,Web,Product Info,Medium,1,5.47,1.0,0.911,4,False,True,True
INT0000711,C000679,Mobile App,Product Info,Medium,1,2.41,0.798,0.867,5,False,True,False
INT0000712,C000523,Mobile App,Transaction Help,Medium,4,3.74,0.846,0.78,4,False,True,False
INT0000713,C000728,Web,Fraud,High,3,1.23,0.797,0.942,3,False,True,False
INT0000714,C000764,Web,Loan,Medium,2,2.75,0.779,0.741,5,False,True,False
INT0000715,C000920,Mobile App,Policy,Medium,3,3.3,0.95,0.817,4,False,True,True
INT0000716,C000799,Mobile App,Transaction Help,Medium,3,3.78,0.872,0.854,5,False,True,True
INT0000717,C000518,Web,Policy,Medium,3,4.66,0.895,0.964,3,False,True,True
INT0000718,C000492,Web,KYC,Medium,1,6.39,0.94,1.0,4,False,True,True
INT0000719,C000236,Mobile App,Product Info,High,3,5.12,0.723,0.988,4,False,True,False
INT0000720,C000599,Web,Complaint,Low,2,5.53,1.0,0.888,4,True,False,False
INT0000721,C000139,Internal Desk,Complaint,Medium,4,6.4,0.859,0.706,4,False,True,False
INT0000722,C000931,Web,General,Low,3,4.83,0.938,0.931,5,True,True,True
INT0000723,C000845,Web,General,Medium,1,3.73,0.946,1.0,4,False,True,True
INT0000724,C000120,Mobile App,Policy,Low,4,5.62,1.0,0.999,4,False,True,True
INT0000725,C000786,Mobile App,Loan,Medium,2,5.73,0.881,0.937,3,False,True,True
INT0000726,C000117,Mobile App,Fraud,Medium,2,4.97,0.699,0.805,3,False,True,False
INT0000727,C000721,Web,Complaint,High,4,1.18,0.895,0.858,4,False,True,True
INT0000728,C000088,Internal Desk,Policy,Low,4,2.29,0.908,1.0,4,False,True,True
INT0000729,C000488,Mobile App,Product Info,Medium,4,3.31,0.797,0.787,4,False,True,False
INT0000730,C000658,Mobile App,Complaint,Medium,3,5.2,0.903,0.808,3,False,False,False
INT0000731,C000729,Web,Transaction Help,High,4,3.76,0.858,0.975,4,True,True,True
INT0000732,C000419,Web,Fraud,High,1,5.85,0.769,0.866,5,False,True,False
INT0000733,C000921,Mobile App,Complaint,Medium,3,6.17,0.95,0.805,5,False,True,True
INT0000734,C000774,Web,Transaction Help,Medium,2,5.96,0.839,1.0,3,False,True,True
INT0000735,C000209,Mobile App,Fraud,Low,2,5.97,0.853,0.937,4,False,True,True
INT0000736,C000671,Web,Policy,High,1,1.93,0.848,0.869,4,False,False,False
INT0000737,C000730,Internal Desk,Loan,Low,1,4.67,1.0,0.808,4,False,True,True
INT0000738,C000334,Mobile App,Policy,Medium,2,2.71,0.886,1.0,3,False,True,True
INT0000739,C000738,Mobile App,General,Medium,4,0.83,0.897,0.898,5,False,True,True
INT0000740,C000898,Mobile App,General,Low,3,3.28,0.85,1.0,4,False,True,True
INT0000741,C000817,Web,Complaint,Low,2,6.18,0.932,0.971,4,True,True,True
INT0000742,C000762,Mobile App,General,Low,2,4.63,1.0,0.858,5,False,True,True
INT0000743,C000634,Mobile App,General,Medium,3,7.43,0.948,0.859,4,False,True,True
INT0000744,C000271,Mobile App,General,Low,1,4.12,0.952,1.0,5,False,True,True
INT0000745,C000795,Web,Complaint,Low,3,8.21,0.945,1.0,4,False,True,True
INT0000746,C000364,Mobile App,Transaction Help,Medium,3,4.12,0.766,0.75,3,False,True,False
INT0000747,C000532,Mobile App,Loan,Low,1,3.84,0.811,0.944,4,False,True,True
INT0000748,C000315,Mobile App,General,High,3,1.5,0.872,0.89,5,False,True,True
INT0000749,C000313,Web,General,Low,3,5.8,0.825,0.817,5,False,True,True
INT0000750,C000158,Mobile App,Loan,Low,3,2.9,0.794,0.921,4,False,True,False
INT0000751,C000961,Mobile App,Transaction Help,Low,2,2.64,0.722,0.792,4,False,True,False
INT0000752,C000148,Internal Desk,Fraud,Low,3,6.11,0.769,0.863,5,False,True,False
INT0000753,C000087,Web,KYC,Low,4,5.88,0.867,0.836,3,False,True,True
INT0000754,C000936,Web,Loan,Medium,1,5.84,0.884,0.86,3,False,True,True
INT0000755,C000555,Mobile App,Complaint,Low,3,3.15,0.819,0.894,4,False,True,True
INT0000756,C000438,Mobile App,Complaint,Low,3,3.71,0.897,0.819,5,False,True,True
INT0000757,C000737,Mobile App,Product Info,Low,2,3.69,0.851,1.0,5,False,True,True
INT0000758,C000383,Mobile App,Complaint,Low,2,5.21,0.988,0.939,4,True,True,True
INT0000759,C000128,Web,KYC,High,4,6.6,0.875,1.0,4,False,True,True
INT0000760,C000729,Mobile App,Transaction Help,Low,2,4.46,0.953,0.887,3,False,True,True
INT0000761,C000176,Web,General,High,3,7.35,0.908,0.856,4,False,True,True
INT0000762,C000553,Web,Product Info,Low,1,5.41,0.764,1.0,4,False,True,False
INT0000763,C000949,Mobile App,Loan,Low,4,3.38,0.882,0.854,5,True,True,True
INT0000764,C000936,Mobile App,Fraud,Low,3,5.29,0.779,0.886,5,False,True,False
INT0000765,C000361,Mobile App,Policy,Low,4,6.87,0.88,0.958,4,False,True,True
INT0000766,C000780,Web,General,Medium,3,7.4,0.823,0.801,5,False,True,True
INT0000767,C000613,Web,Loan,Low,2,5.94,0.924,0.957,4,False,True,True
INT0000768,C000479,Internal Desk,KYC,Low,2,3.85,0.769,0.947,5,True,True,False
INT0000769,C000140,Web,KYC,Medium,3,3.41,0.891,1.0,4,False,True,True
INT0000770,C000376,Web,Loan,Medium,4,4.84,0.942,0.971,5,False,True,True
INT0000771,C000652,Web,Transaction Help,High,1,6.81,0.972,1.0,5,False,True,True
INT0000772,C000986,Mobile App,Fraud,High,4,4.58,0.821,0.891,4,False,True,True
INT0000773,C000005,Mobile App,Transaction Help,Medium,4,4.62,0.892,0.831,5,True,True,True
INT0000774,C000718,Mobile App,Fraud,Medium,1,3.89,0.907,1.0,3,False,True,True
INT0000775,C000846,Mobile App,Loan,Medium,1,3.21,1.0,0.778,4,False,True,False
INT0000776,C000951,Web,Transaction Help,Low,3,3.51,0.757,0.786,4,False,True,False
INT0000777,C000424,Web,Transaction Help,Medium,4,4.04,0.808,0.945,3,True,True,True
INT0000778,C000119,Mobile App,Policy,Low,2,6.89,1.0,1.0,4,True,True,True
INT0000779,C000271,Web,Fraud,Medium,3,3.37,0.865,0.915,4,False,True,True
INT0000780,C000850,Web,Transaction Help,High,4,3.89,0.72,0.98,5,False,True,False
INT0000781,C000878,Web,KYC,Low,2,2.24,0.838,0.74,4,False,True,False
INT0000782,C000637,Web,KYC,Medium,1,5.09,0.641,0.86,5,False,True,False
INT0000783,C000123,Mobile App,Policy,High,4,6.26,0.912,0.75,4,False,True,False
INT0000784,C000122,Mobile App,Policy,Low,2,6.72,0.963,0.962,4,False,True,True
INT0000785,C000478,Web,General,Low,2,4.17,0.808,0.776,4,False,True,False
INT0000786,C000588,Mobile App,Loan,High,2,4.83,0.848,0.798,5,False,True,False
INT0000787,C000033,Mobile App,Complaint,High,3,3.52,0.973,0.941,5,False,True,True
INT0000788,C000686,Mobile App,Policy,Low,2,4.75,0.732,0.985,4,False,False,False
INT0000789,C000544,Mobile App,Complaint,Low,3,4.37,0.771,0.887,3,False,True,False
INT0000790,C000013,Web,Complaint,Medium,3,3.9,0.869,0.946,3,False,True,True
INT0000791,C000096,Mobile App,Policy,Low,1,4.05,0.822,0.943,4,False,True,True
INT0000792,C000454,Web,General,Low,2,4.61,0.864,0.883,3,False,True,True
INT0000793,C000722,Web,Complaint,Low,1,3.27,0.776,0.812,5,False,True,False
INT0000794,C000825,Web,KYC,Low,1,3.36,0.909,0.945,5,False,True,True
INT0000795,C000431,Mobile App,General,Medium,4,6.87,0.877,0.949,4,False,True,True
INT0000796,C000296,Web,Policy,Medium,3,8.68,0.939,0.972,3,False,True,True
INT0000797,C000968,Web,Product Info,Medium,3,1.63,0.908,0.925,5,False,True,True
INT0000798,C000459,Mobile App,KYC,Medium,4,1.53,0.909,0.807,3,False,True,True
INT0000799,C000316,Web,Transaction Help,Low,3,2.08,0.76,0.955,4,True,True,False
INT0000800,C000442,Web,Policy,Low,4,3.61,0.934,0.9,4,False,True,True
INT0000801,C000013,Web,Product Info,Low,3,5.41,0.86,0.861,4,False,True,True
INT0000802,C000302,Web,General,Low,2,4.86,0.875,0.876,5,False,True,True
INT0000803,C000516,Web,Transaction Help,Low,3,4.11,0.984,0.845,5,False,True,True
INT0000804,C000918,Web,Fraud,Low,2,4.75,0.825,0.971,5,False,True,True
INT0000805,C000738,Web,Transaction Help,Low,4,2.55,1.0,0.787,4,True,True,False
INT0000806,C000781,Mobile App,Policy,Low,1,3.36,1.0,0.821,5,False,True,True
INT0000807,C000545,Internal Desk,Fraud,Medium,4,3.76,0.958,0.874,4,False,True,True
INT0000808,C000111,Mobile App,KYC,Medium,4,0.95,0.802,1.0,3,False,True,True
INT0000809,C000391,Mobile App,Product Info,High,1,1.71,0.693,0.984,4,False,True,False
INT0000810,C000997,Mobile App,Fraud,Medium,3,1.78,0.987,0.769,4,False,True,False
INT0000811,C000045,Internal Desk,General,Medium,4,5.18,0.9,1.0,4,False,True,True
INT0000812,C000879,Mobile App,General,Low,3,4.24,0.823,1.0,4,False,True,True
INT0000813,C000684,Mobile App,Transaction Help,Medium,2,4.9,0.996,0.806,4,False,True,True
INT0000814,C000284,Internal Desk,Fraud,Low,4,0.5,0.812,0.698,5,False,True,False
INT0000815,C000778,Mobile App,Fraud,Low,3,1.13,0.852,0.894,5,False,True,True
INT0000816,C000837,Mobile App,Loan,Low,1,4.99,0.937,0.99,3,False,True,True
INT0000817,C000044,Web,Loan,Low,1,0.5,0.79,1.0,3,False,True,False
INT0000818,C000107,Web,Product Info,Low,3,6.0,0.88,0.83,4,False,True,True
INT0000819,C000666,Mobile App,Policy,Medium,2,0.52,0.988,1.0,5,False,True,True
INT0000820,C000999,Mobile App,Transaction Help,Medium,1,5.32,0.909,0.722,4,False,True,False
INT0000821,C000024,Web,Complaint,Medium,4,2.2,1.0,0.871,4,False,True,True
INT0000822,C000666,Mobile App,Policy,Medium,1,5.69,0.992,0.867,5,False,True,True
INT0000823,C000137,Mobile App,KYC,Low,1,9.57,0.891,0.992,5,False,True,True
INT0000824,C000650,Mobile App,Fraud,Low,2,0.5,0.68,1.0,4,True,True,False
INT0000825,C000623,Web,General,Medium,1,5.05,0.79,0.976,4,False,False,False
INT0000826,C000091,Web,Fraud,Low,2,0.55,0.959,0.792,4,False,True,False
INT0000827,C000681,Mobile App,Loan,Low,4,4.57,0.75,0.969,4,False,True,False
INT0000828,C000897,Mobile App,Transaction Help,Low,4,3.43,0.861,0.941,4,True,True,True
INT0000829,C000863,Internal Desk,Transaction Help,High,4,4.03,0.92,0.766,4,False,True,False
INT0000830,C000029,Mobile App,Fraud,Medium,2,2.16,1.0,0.735,5,False,True,False
INT0000831,C000246,Mobile App,Loan,Low,1,5.2,0.838,0.983,4,False,True,True
INT0000832,C000241,Web,Policy,Medium,4,1.19,0.832,0.886,5,False,True,True
INT0000833,C000453,Web,Fraud,Low,2,6.03,0.885,0.797,5,False,True,False
INT0000834,C000143,Web,General,Low,3,3.06,0.922,0.883,5,False,True,True
INT0000835,C000854,Mobile App,Loan,Low,1,1.28,0.876,0.929,4,False,True,True
INT0000836,C000776,Internal Desk,Product Info,Low,3,6.67,0.984,0.893,5,False,True,True
INT0000837,C000808,Web,KYC,Medium,3,3.68,0.818,0.776,5,True,True,False
INT0000838,C000199,Mobile App,Loan,Low,4,7.23,0.901,1.0,5,False,False,False
INT0000839,C000015,Web,Fraud,Medium,1,6.0,0.93,0.98,4,True,True,True
INT0000840,C000910,Web,Fraud,Low,2,2.36,0.854,0.873,5,False,True,True
INT0000841,C000289,Web,Complaint,Medium,4,3.65,0.966,0.876,4,False,True,True
INT0000842,C000656,Web,Loan,Medium,2,4.02,0.903,0.929,4,False,True,True
INT0000843,C000909,Internal Desk,Loan,Medium,3,6.55,0.961,0.81,4,False,True,True
INT0000844,C000037,Web,Fraud,Medium,1,4.59,0.907,0.926,4,False,True,True
INT0000845,C000006,Mobile App,Complaint,High,3,4.12,0.924,0.794,5,False,True,False
INT0000846,C000006,Mobile App,Fraud,Low,2,3.44,0.833,0.894,5,True,True,True
INT0000847,C000157,Web,Fraud,Medium,3,3.71,0.833,0.807,4,False,True,True
INT0000848,C000052,Web,Fraud,Medium,4,6.15,1.0,0.811,4,False,True,True
INT0000849,C000820,Mobile App,Complaint,Low,3,3.81,0.947,1.0,4,False,True,True
INT0000850,C000606,Web,Loan,Low,2,3.09,0.798,0.905,3,False,True,False
INT0000851,C000980,Internal Desk,Transaction Help,Low,1,2.78,0.906,0.917,5,False,True,True
INT0000852,C000801,Web,Loan,Low,2,2.8,0.676,0.739,4,False,True,False
INT0000853,C000963,Mobile App,Product Info,Low,4,1.28,0.838,0.852,5,False,True,True
INT0000854,C000239,Mobile App,Fraud,Low,1,2.45,0.976,0.937,4,False,True,True
INT0000855,C000288,Web,Policy,Medium,3,6.5,0.879,0.916,4,False,True,True
INT0000856,C000849,Web,Policy,Low,2,3.43,0.901,0.728,4,False,True,False
INT0000857,C000245,Internal Desk,KYC,Medium,2,5.07,0.619,0.917,4,False,True,False
INT0000858,C000058,Web,KYC,Low,3,0.5,0.855,0.929,4,False,True,True
INT0000859,C000669,Web,Product Info,Medium,2,4.82,0.92,1.0,5,False,True,True
INT0000860,C000801,Web,Complaint,Low,2,3.51,0.932,0.848,4,False,True,True
INT0000861,C000968,Web,KYC,Low,3,2.93,0.977,0.721,5,False,True,False
INT0000862,C000927,Mobile App,Policy,Low,4,4.13,0.871,0.82,5,False,True,True
INT0000863,C000121,Mobile App,Loan,Medium,4,2.91,0.875,0.812,4,True,True,True
INT0000864,C000772,Web,Policy,Low,3,0.5,0.77,0.959,5,False,True,False
INT0000865,C000846,Mobile App,Complaint,High,3,5.46,0.872,0.683,4,False,True,False
INT0000866,C000698,Web,Transaction Help,Low,4,4.24,0.776,0.864,3,True,True,False
INT0000867,C000819,Web,Product Info,Medium,2,3.23,0.724,1.0,4,True,True,False
INT0000868,C000838,Mobile App,Loan,Low,2,2.06,0.792,0.901,5,False,True,False
INT0000869,C000447,Internal Desk,KYC,Medium,2,1.15,1.0,0.972,4,False,True,True
INT0000870,C000041,Web,Complaint,Low,3,4.2,0.866,0.769,4,True,True,False
INT0000871,C000456,Web,Policy,Low,3,6.7,0.91,0.772,4,False,True,False
INT0000872,C000202,Mobile App,KYC,Low,1,4.17,0.844,1.0,5,False,True,True
INT0000873,C000114,Mobile App,Complaint,Low,4,1.31,0.729,0.908,3,False,True,False
INT0000874,C000125,Web,Transaction Help,Low,2,4.21,0.974,0.908,5,False,True,True
INT0000875,C000697,Web,KYC,High,4,3.7,0.695,0.811,4,False,True,False
INT0000876,C000505,Mobile App,KYC,Low,3,5.36,0.84,0.908,4,False,True,True
INT0000877,C000540,Web,Transaction Help,Low,4,4.89,0.885,0.808,4,False,True,True
INT0000878,C000745,Web,Complaint,High,3,0.5,0.911,0.995,5,True,True,True
INT0000879,C000548,Web,Fraud,Low,3,4.78,0.825,1.0,5,False,True,True
INT0000880,C000630,Web,Loan,Low,1,1.99,0.725,0.939,4,False,True,False
INT0000881,C000086,Mobile App,Transaction Help,Medium,2,1.24,0.818,0.849,5,True,True,True
INT0000882,C000851,Mobile App,General,High,4,3.46,0.823,0.697,5,False,True,False
INT0000883,C000449,Mobile App,Fraud,Medium,2,4.54,0.82,0.765,5,False,True,False
INT0000884,C000156,Mobile App,Fraud,Low,1,0.85,0.977,1.0,4,False,True,True
INT0000885,C000813,Internal Desk,Product Info,High,1,5.07,0.781,0.818,5,False,True,False
INT0000886,C000734,Web,General,Low,3,5.17,0.917,0.87,5,False,True,True
INT0000887,C000053,Web,Transaction Help,High,3,3.88,0.904,0.952,4,False,True,True
INT0000888,C000193,Internal Desk,General,Medium,4,2.24,0.976,1.0,3,False,True,True
INT0000889,C000016,Web,Fraud,High,4,2.04,0.878,0.884,3,False,True,True
INT0000890,C000271,Mobile App,Policy,Low,3,5.65,0.961,0.868,4,False,True,True
INT0000891,C000100,Mobile App,Transaction Help,Low,3,1.08,0.875,0.906,4,False,True,True
INT0000892,C000710,Web,Transaction Help,Medium,4,5.72,0.929,0.85,3,False,True,True
INT0000893,C000523,Mobile App,Policy,Low,1,3.5,0.755,0.854,5,True,True,False
INT0000894,C000980,Web,Policy,Low,3,3.63,0.653,0.933,4,False,False,False
INT0000895,C000749,Web,Loan,High,2,0.73,0.924,0.915,5,False,True,True
INT0000896,C000611,Mobile App,Product Info,Medium,4,3.54,0.929,1.0,5,False,True,True
INT0000897,C000509,Web,General,Low,4,4.9,0.933,0.935,4,False,True,True
INT0000898,C000055,Mobile App,Fraud,Low,3,1.39,0.843,0.992,5,False,True,True
INT0000899,C000071,Internal Desk,General,Low,3,4.7,1.0,0.814,5,False,True,True
INT0000900,C000616,Mobile App,Policy,Low,3,3.96,0.849,0.942,4,False,True,True
INT0000901,C000005,Web,Policy,Low,3,2.64,0.928,0.842,3,False,True,True
INT0000902,C000043,Web,KYC,Medium,1,5.34,0.944,0.932,4,False,True,True
INT0000903,C000219,Web,KYC,Medium,2,0.5,1.0,0.955,4,False,True,True
INT0000904,C000884,Web,Loan,Low,3,4.42,0.861,0.904,5,False,True,True
INT0000905,C000459,Internal Desk,Product Info,Low,3,6.71,0.831,1.0,4,False,True,True
INT0000906,C000709,Web,Fraud,Medium,1,6.39,0.755,1.0,5,False,True,False
INT0000907,C000412,Web,KYC,Medium,4,4.5,1.0,0.994,3,False,True,True
INT0000908,C000173,Mobile App,Policy,High,4,3.26,0.928,0.961,4,False,True,True
INT0000909,C000371,Web,Loan,Low,3,2.66,0.931,1.0,5,False,True,True
INT0000910,C000092,Web,KYC,Medium,1,3.25,1.0,0.785,4,True,True,False
INT0000911,C000770,Web,Product Info,Low,4,4.78,0.919,1.0,4,False,True,True
INT0000912,C000184,Mobile App,Fraud,Low,1,2.35,0.773,0.821,4,False,True,False
INT0000913,C000377,Mobile App,Loan,Medium,2,5.16,0.872,0.855,4,False,True,True
INT0000914,C000980,Web,General,Low,4,7.64,0.802,0.945,4,False,True,True
INT0000915,C000592,Internal Desk,Complaint,Low,3,3.69,0.854,0.999,3,False,True,True
INT0000916,C000459,Mobile App,Transaction Help,Low,1,1.38,0.854,0.808,4,False,True,True
INT0000917,C000543,Mobile App,Complaint,Low,1,1.38,0.837,0.859,5,False,True,True
INT0000918,C000784,Web,Transaction Help,Low,2,5.2,0.765,0.908,4,False,True,False
INT0000919,C000255,Web,Loan,Medium,3,3.69,1.0,0.885,4,False,True,True
INT0000920,C000636,Mobile App,KYC,Low,3,5.38,0.917,0.968,5,False,True,True
INT0000921,C000872,Web,Policy,Low,1,2.84,0.87,1.0,5,False,True,True
INT0000922,C000572,Mobile App,General,Medium,1,5.3,0.958,0.934,4,False,False,False
INT0000923,C000447,Mobile App,Product Info,Low,3,3.52,0.932,0.841,3,False,True,True
INT0000924,C000145,Web,Transaction Help,High,1,2.48,0.915,0.796,4,False,True,False
INT0000925,C000249,Mobile App,Complaint,Low,1,3.08,0.952,0.874,5,False,True,True
INT0000926,C000946,Internal Desk,Transaction Help,Medium,2,1.65,0.902,0.825,4,False,True,True
INT0000927,C000541,Mobile App,Policy,Low,3,7.38,0.95,0.937,5,False,True,True
INT0000928,C000302,Web,Transaction Help,Medium,1,3.63,0.958,0.936,4,False,False,False
INT0000929,C000418,Mobile App,Product Info,Low,1,4.96,0.905,0.863,4,False,True,True
INT0000930,C000578,Mobile App,Policy,High,1,2.83,0.87,1.0,5,False,True,True
INT0000931,C000538,Mobile App,General,Low,2,1.91,1.0,0.841,4,False,True,True
INT0000932,C000700,Mobile App,Transaction Help,Medium,1,3.38,0.847,0.89,4,False,True,True
INT0000933,C000258,Mobile App,Complaint,Low,1,5.78,0.925,0.951,3,False,False,False
INT0000934,C000649,Web,Loan,Low,2,2.86,0.927,0.971,4,False,True,True
INT0000935,C000443,Web,Loan,Low,1,2.23,0.835,1.0,5,True,True,True
